url,date,time,author_name,author_link,quoted_user,posting,posting_wo_quote
/t3279775,2020-11-08,05:37,UndeadNinja,/u877633,NA,Citat Ursprungligen postat av YottameterVarför blir folk alltid så stolliga av asteroider och meteoriter egentligen Det är en helt normal grej Finns triljarder stenar som far omkring i solsystemet så klart att någon ibland landar på oss Jadu det kanske sitter i vårat kollektiva minne efter att en komet slog ner för ca12800 år sedan och rörde om jorden totalt för mänskligheten samt utrotade flertalet djurarter Byggandet och nergrävandet av Göbekli Tepe och ruiner lite här och där tom under havsytan Har man dessutom sett Armageddon och då även inser att Bruce Willis numera är rätt gammal och inte skulle palla med att åka upp för att spränga kometen och rädda oss så blir det hela ännu mer skrämmande,Jadu det kanske sitter i vårat kollektiva minne efter att en komet slog ner för ca12800 år sedan och rörde om jorden totalt för mänskligheten samt utrotade flertalet djurarter Byggandet och nergrävandet av Göbekli Tepe och ruiner lite här och där tom under havsytan Har man dessutom sett Armageddon och då även inser att Bruce Willis numera är rätt gammal och inte skulle palla med att åka upp för att spränga kometen och rädda oss så blir det hela ännu mer skrämmande
/t3279775,2020-11-08,06:42,ipantare,/u1143220,NA,Citat Ursprungligen postat av Sesam66Skulle enligt mina beräkningar och minnesbild av tid uppskatta att det skedde mellan Bjuggsta och Hummelsta söder om E18 Tillägg Enligt Senare uppgifter ifrån andra platser som hörde ljudet tidigare så bör min platsangivelse vara felaktig Bor mellan hummelsta o västerås blev en djävla smäll och ett utdraget muller precis som ett jetplan som går genom ljudvallen,Bor mellan hummelsta o västerås blev en djävla smäll och ett utdraget muller precis som ett jetplan som går genom ljudvallen
/t3279775,2020-11-08,06:57,Old-Crow,/u992018,NA,Fler filmer från diverse kameror https www aftonbladet se nyheter a n over sverige,Fler filmer från diverse kameror https www aftonbladet se nyheter a n over sverige
/t3279775,2020-11-08,07:13,Mra69,/u661850,NA,Bor i Västerås Vi låg och kollade på film i soffan när mullret kom Vifixk stänga av filmen för att försöka förstå vad det var som lät så konstigt och högt Typ som att en person drog en resväska på en kullstensväg fast ljudet var gånger 10 Helt galet Varade ca 40 sekunder,Bor i Västerås Vi låg och kollade på film i soffan när mullret kom Vifixk stänga av filmen för att försöka förstå vad det var som lät så konstigt och högt Typ som att en person drog en resväska på en kullstensväg fast ljudet var gånger 10 Helt galet Varade ca 40 sekunder
/t3279775,2020-11-08,08:16,DenTunnaVitaLinjen,/u769381,NA,Citat Ursprungligen postat av UndeadNinjaJadu det kanske sitter i vårat kollektiva minne efter att en komet slog ner för ca12800 år sedan och rörde om jorden totalt för mänskligheten samt utrotade flertalet djurarter Byggandet och nergrävandet av Göbekli Tepe och ruiner lite här och där tom under havsytan Har man dessutom sett Armageddon och då även inser att Bruce Willis numera är rätt gammal och inte skulle palla med att åka upp för att spränga kometen och rädda oss så blir det hela ännu mer skrämmande Någon har lyssnat lite väl mycket på JRE ser jag,Någon har lyssnat lite väl mycket på JRE ser jag
/t3279775,2020-11-08,08:28,Tuppen123,/u1137324,NA,Bor i Västerås och satt troligen och kollade på tvn då Missade helt ljuset men märkte av bullret och tyckte det lät som någon startade en mc men reagerade på att den aldrig åkte iväg från en sekund till en annan blev det tyst Hann även tänka att det var bönderna som kom med sina epa traktorer eller att det var något värre då jag upplevde mullret som en våg Ca 20 40sek tror jag att det varade,Bor i Västerås och satt troligen och kollade på tvn då Missade helt ljuset men märkte av bullret och tyckte det lät som någon startade en mc men reagerade på att den aldrig åkte iväg från en sekund till en annan blev det tyst Hann även tänka att det var bönderna som kom med sina epa traktorer eller att det var något värre då jag upplevde mullret som en våg Ca 20 40sek tror jag att det varade
/t3279775,2020-11-08,08:31,FetFulElak,/u71703,NA,Såg också det var INGEN bolid Såg ett triangelformat föremål som blinkande innan det lade in en jävla växel och drog norrut Kanske inte aliens men ryssar jänkare kineser som leker med ett nytt framdrivningsmedel Ingen som har en Geigermätare Lär ju pipa som fan,Såg också det var INGEN bolid Såg ett triangelformat föremål som blinkande innan det lade in en jävla växel och drog norrut Kanske inte aliens men ryssar jänkare kineser som leker med ett nytt framdrivningsmedel Ingen som har en Geigermätare Lär ju pipa som fan
/t3279775,2020-11-08,09:08,Runkar-din-hund,/u1383819,NA,Sr 91 spionplan kanske Project Aurora I så fall vet vi ju vad som inspirerade namnet Motorn är helt anorlunda så det borde förklara vad du såg,Sr 91 spionplan kanske Project Aurora I så fall vet vi ju vad som inspirerade namnet Motorn är helt anorlunda så det borde förklara vad du såg
/t3279775,2020-11-08,09:19,Isterbandsdoktorn,/u1108013,NA,Har förekommit i alla tider bara anmälningsbenägenheten som ökat,Har förekommit i alla tider bara anmälningsbenägenheten som ökat
/t3279775,2020-11-08,09:55,MrStreamer,/u238822,NA,Citat Ursprungligen postat av SouthHahaha dog Kan vi bara sluta hålla på med detta varenda gång en bolid lyser lite Alltid hundratals som ska ringa AB å sen rubriker med Mystiskt ljusfenomen och kattfan trodde det var ett ufo Precis Finns det någon offentlig databas över såna händelser med datum osv,Precis Finns det någon offentlig databas över såna händelser med datum osv
